feature,importance,importance_pct,cumulative_pct
순서,4161,26.31878557874763,26.31878557874763
시간대,1673,10.58191018342821,36.90069576217584
요일,1376,8.703352308665401,45.604048070841245
Time_x_Weekday,1152,7.286527514231499,52.890575585072746
호선,1133,7.166350411132195,60.05692599620494
환승역,1026,6.489563567362429,66.54648956356736
Is_Holiday,814,5.148640101201771,71.69512966476913
Time_Sin,788,4.9841872232764075,76.67931688804553
event_count,738,4.667931688804554,81.34724857685009
Hour,349,2.207463630613536,83.55471220746362
Transfer_x_RushHour,283,1.7900063251106892,85.34471853257432
요일_Sin,260,1.644528779253637,86.98924731182795
Time_Cos,201,1.2713472485768502,88.2605945604048
is_transfer_station,183,1.157495256166983,89.41808981657178
Is_RushHour,120,0.7590132827324478,90.17710309930423
event_rushhour,120,0.7590132827324478,90.93611638203669
Hour_x_IsWeekend,114,0.7210626185958254,91.65717900063251
DayOfYear,97,0.6135357368753953,92.2707147375079
DI_x_RushHour,97,0.6135357368753953,92.8842504743833
event_intensity,95,0.6008855154965212,93.48513598987981
Holiday_x_Event,93,0.5882352941176471,94.07337128399746
DayOfYear_Sin,90,0.5692599620493358,94.64263124604679
event_evening,87,0.5502846299810247,95.19291587602781
Is_MorningRush,81,0.5123339658444023,95.70524984187222
Is_Weekend,75,0.47438330170777987,96.17963314357999
event_timing,66,0.41745730550284627,96.59709044908284
is_event_nearby,59,0.37318153067678683,96.97027197975963
DayOfMonth,52,0.3289057558507274,97.29917773561036
event_weekend,44,0.2783048703352308,97.57748260594559
요일_Cos,42,0.2656546489563567,97.84313725490195
WeekOfYear,42,0.2656546489563567,98.1087919038583
DayOfYear_Cos,30,0.18975332068311196,98.29854522454141
Weather_Score,25,0.15812776723592661,98.45667299177734
event_ending,23,0.1454775458570525,98.60215053763439
Month,19,0.12017710309930425,98.7223276407337
daily_event_count,19,0.12017710309930425,98.842504743833
Temp_x_RushHour,18,0.11385199240986717,98.95635673624287
temperature,16,0.10120177103099305,99.05755850727385
humidity,16,0.10120177103099305,99.15876027830484
Event_x_Evening,15,0.09487666034155598,99.2536369386464
Season,13,0.08222643896268185,99.33586337760907
discomfort_index,11,0.0695762175838077,99.40543959519287
시간대_그룹,11,0.0695762175838077,99.47501581277668
Event_x_Weekend,11,0.0695762175838077,99.54459203036048
Is_EveningRush,10,0.06325110689437065,99.60784313725485
월_Sin,9,0.056925996204933584,99.66476913345979
Season_x_Weekend,8,0.050600885515496526,99.71537001897528
has_multiple_events,8,0.050600885515496526,99.76597090449077
wind_speed,6,0.03795066413662239,99.80392156862739
월_Cos,5,0.031625553447185324,99.83554712207457
snowfall,5,0.031625553447185324,99.86717267552176
Weather_Group,5,0.031625553447185324,99.89879822896894
Is_LateNight,4,0.025300442757748263,99.9240986717267
rainfall,3,0.018975332068311195,99.943074003795
Feels_Like_Temp,3,0.018975332068311195,99.96204933586331
Precipitation_Intensity,3,0.018975332068311195,99.98102466793162
Quarter,2,0.012650221378874131,99.9936748893105
RainIntensity_x_RushHour,1,0.006325110689437066,99.99999999999993
Humidity_Category,0,0.0,99.99999999999993
Snow_Category,0,0.0,99.99999999999993
Is_Snow,0,0.0,99.99999999999993
Rain_Category,0,0.0,99.99999999999993
Is_Rain,0,0.0,99.99999999999993
Temp_Category,0,0.0,99.99999999999993
Is_Cold,0,0.0,99.99999999999993
Is_Extreme_Weather,0,0.0,99.99999999999993
Is_Hot,0,0.0,99.99999999999993
Is_Windy,0,0.0,99.99999999999993
Wind_Category,0,0.0,99.99999999999993
Is_Freezing,0,0.0,99.99999999999993
DI_Category,0,0.0,99.99999999999993
Snow_x_Weekend,0,0.0,99.99999999999993
Rain_x_Weekend,0,0.0,99.99999999999993
Rain_x_RushHour,0,0.0,99.99999999999993
Extreme_x_RushHour,0,0.0,99.99999999999993
